title,company,location,salary_min,salary_max,description,created,category
"Communications, Policy, and Data Analyst (Hybrid)",Govcio LLC,"Crystal, Arlington County",68553.41,68553.41,"Overview: GovCIO is currently hiring for a Communications, Policy and Data Analyst to support program management, tasking execution, strategic planning, policy review, metrics generation and reporting activities at Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE). This role will be responsible for providing support to a unit specific data that executes numerous data analytics productions and executive tasking responses on a daily basis. This position is a hybrid s…",2026-06-09T09:13:42Z,Admin Jobs
Registered Nurse (RN) Clinical Data Analyst Cardiac Cath Full Time Days,Manatee Memorial Hospital,"Samoset, Manatee County",114207.58,114207.58,"Responsibilities About Manatee Memorial Hospital (MMH): Manatee Memorial Hospital in Bradenton, Florida, has served the citizens of Manatee, Sarasota and surrounding counties for over 70 years. Part of the Manatee Healthcare System, the hospital has earned The Joint Commission’s Gold Seal of Approval. The 295-bed hospital with over 800 physicians, residents and allied health professionals, offers advanced healthcare services in a caring and compassionate environment. Services include cardiac ca…",2026-05-28T09:21:50Z,Healthcare & Nursing Jobs
Data Analyst,"BOOZ, ALLEN & HAMILTON, INC.","Reston, Fairfax County",103396.92,103396.92,"Job Description Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to complex defense acquisition. …",2026-06-10T22:39:59Z,Accounting & Finance Jobs
Data Analyst,"BOOZ, ALLEN & HAMILTON, INC.","Lorton, Otoe County",96963.97,96963.97,"Job Description Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to complex defense acquisition. …",2026-06-10T22:46:41Z,Accounting & Finance Jobs
Data Analyst,"BOOZ, ALLEN & HAMILTON, INC.","College Park, Fulton County",95210.2,95210.2,"Job Description Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to complex defense acquisition. …",2026-06-10T22:47:20Z,Accounting & Finance Jobs
Senior Imagery Analyst (Data Annotation),Vantor,"West Falls Church, Fairfax County",111639.98,111639.98,"Vantor is forging the new frontier of spatial intelligence, helping decision makers and operators navigate what’s happening now and shape what’s coming next. Vantor is a place for problem solvers, changemakers, and go-getters—where people are working together to help our customers see the world differently, and in doing so, be seen differently. Come be part of a mission, not just a job, where you can: Shape your own future, build the next big thing, and change the world. To be eligible for this…",2026-06-10T10:45:36Z,Engineering Jobs
Data Analyst,Jobot,"Mansfield, Tarrant County",74730.13,74730.13,"This Jobot Job is hosted by: Christian Aviles Are you a fit? Easy Apply now by clicking the ""Quick Apply"" buttonand sending us your resume. Salary: $50,000 - $70,000 per year A bit about us: My client provides water management solutions specializing in precise digital measurement, data delivery, and water preservation software. Why join us? Benefit Overview: Company-paid premiums for Medical Insurance, Life/AD&D Insurance and Short and Long-Term Disability Insurances Flexible Spending Account (…",2026-05-19T21:58:09Z,IT Jobs
Data Analyst,Uline,"Pleasant Prairie, Kenosha County",87959.53,87959.53,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 Ready to make a real impact? Join Uline as a Data Analyst to be a driver of operational excellence. From searching for improvements regarding manual processes to thinking critically about various issues, your skills will help shape our growing company's future! Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your career with stability you can count on. Position Respons…",2026-06-11T08:16:36Z,IT Jobs
Mid-level Imagery Analyst (Data Annotation),Vantor,"West Falls Church, Fairfax County",107493.34,107493.34,"Vantor is forging the new frontier of spatial intelligence, helping decision makers and operators navigate what’s happening now and shape what’s coming next. Vantor is a place for problem solvers, changemakers, and go-getters—where people are working together to help our customers see the world differently, and in doing so, be seen differently. Come be part of a mission, not just a job, where you can: Shape your own future, build the next big thing, and change the world. To be eligible for this…",2026-06-10T10:43:05Z,Engineering Jobs
Jr. Data Analyst,Jobot,"Dallas, Texas",58481.36,58481.36,"Jr. Data Analyst full time for a Credit Union REMOTE! This Jobot Job is hosted by: Alicia Blake Are you a fit? Easy Apply now by clicking the ""Quick Apply"" buttonand sending us your resume. Salary: $50,000 - $55,000 per year A bit about us: Small credit union seeking a Data Analyst to join their growing team. Why join us? Great pay Benefits Bonuses Job Details Seeking a Jr. Data Analyst to join the Credit Union team - Can be remote but must live in one of these states FL, TX, MO, TN, DE, or GA.…",2026-05-30T03:01:29Z,IT Jobs
Master Data Analyst,Jobot,"Minden, Douglas County",99095.8,99095.8,"Master Data Analyst This Jobot Job is hosted by: Jerry Sipocz Are you a fit? Easy Apply now by clicking the ""Quick Apply"" buttonand sending us your resume. Salary: $70,000 - $85,000 per year A bit about us: Our client is a well-established and growing manufacturer known for delivering innovative, high-quality products to customers around the world. With a strong commitment to operational excellence, continuous improvement, and product innovation, the company has built a reputation for quality, …",2026-06-06T12:29:33Z,IT Jobs
Data Analyst,CSS Tec,"Jacksonville, Duval County",61930.77,61930.77,"Job Title: Jr. Data Analyst Job Overview: Contemporary Staffing Solutions is seeking a Jr. Data Analyst to join our client to support data driven decision making across multiple legal and community focused programs. This role partners closely with attorneys, advocates, and operational teams to transform raw information into clear insights that improve services and outcomes. The position offers hands on exposure to housing, consumer law, and pro bono initiatives while strengthening reporting and…",2026-06-03T15:50:24Z,IT Jobs
DATA ANALYST,AaraTechnologies Inc,"Mount Rainier, Prince George's County",55759.68,55759.68,"Data Analyst Banking (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a Data Analyst Banking to support reporting and analytics for banking and payments platforms. This role involves analyzing transaction data, building dashboards, and supporting KPI reporting. You will work with business and analytics teams to support data-driven decision-making. Ideal for early-career professionals in financial analytics. Key Responsibilities Analyze banking and transaction …",2026-06-03T11:55:09Z,Accounting & Finance Jobs
DATA ANALYST,AaraTechnologies Inc,"Chesapeake City, Cecil County",46237.86,46237.86,"Data Analyst Banking (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a Data Analyst Banking to support reporting and analytics for banking and payments platforms. This role involves analyzing transaction data, building dashboards, and supporting KPI reporting. You will work with business and analytics teams to support data-driven decision-making. Ideal for early-career professionals in financial analytics. Key Responsibilities Analyze banking and transaction …",2026-06-10T12:45:29Z,Accounting & Finance Jobs
DATA ANALYST,AaraTechnologies Inc,"Mount Rainier, Prince George's County",61057.5,61057.5,"Data Analyst Retail & E-Commerce (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a Data Analyst Retail & E-Commerce to support reporting and analytics for retail and ecommerce platforms. This role involves analyzing sales and transaction data, building dashboards, and supporting KPI reporting. You will work closely with business teams to enable data-driven decisions. Ideal for early-career professionals building analytics expertise. Key Responsibilities Analy…",2026-06-09T12:40:49Z,IT Jobs
Data Analyst,FutureSoft Consulting Inc.,"West End, Dauphin County",90224.91,90224.91," Job Summary We are seeking an experienced Data Analyst for a long-term contract opportunity in the Harrisburg, PA area. This role is ideal for a business-facing analytics professional with strong experience in data analysis, dashboard development, reporting, visualization, stakeholder communication, and data-driven decision support. The selected candidate will work closely with internal business partners to understand reporting needs, analyze structured and unstructured data, develop visual an…",2026-06-09T17:02:50Z,IT Jobs
: Data Analyst,Gov Services Hub,"Richmond, Richmond County",119611.38,119611.38,"Title: Data Analyst Location: Richmond, VA- Hybrid Duration: 12 Months Contract Experience required : 5 years Note: Hybrid working out of our HQ office (3 days in office, 2 days remotely) Description: We are searching for a Data Analyst reporting to our Policy & Planning department. Researches and analyses housing, economic and demographic conditions, and trends, as well as state, local and federal initiatives and policies impacting the programs and activities of Virginia Housing. Evaluates Vir…",2026-03-30T18:34:44Z,IT Jobs
Data Analyst,INSPYR Solutions,"Vienna, Fairfax County",90310.4,90310.4,"Title: Data Analyst Location: Vienna, Virginia- hybrid 3 days a week onsite Duration: Initial 6 months contract with extensions Compensation: $51/hr-$61/hr Work Requirements: , Holders or or Authorized to work in US Data Analyst Basic Description The Data Analyst supports the Lending Data Governance function by delivering advanced analytics, business intelligence, and data quality capabilities that enable data-driven decision-making and operational improvements. This role operates within Lendin…",2026-06-05T15:48:00Z,IT Jobs
